Manufacturer, Ship, Lti, Warbond, ID, Pledge, Cost, Date
"MISC","Freelancer DUR",false,false,4692180,"Package - 300i","$125.00 USD","May 24, 2015"
"Origin","125a",false,false,11510165,"Standalone Ship - Origin 85X - Valentines Day Sale","$55.00 USD","February 15, 2017"
"Tumbril","Cyclone-TR",false,true,13701775,"Standalone Ship - Tumbril Cyclone Flyable 3.1 Warbond","$50.00 USD","March 24, 2018"
