Manufacturer, Ship, Lti, Warbond, ID, Pledge, Cost, Date
"Aegis","Gladius",false,false,22153402,"Package - Aurora MR Starter Pack","$110.00 USD","May 28, 2020"
"Aegis","Sabre",false,false,22153399,"Standalone Ship - Aegis Sabre - ILW2950","$170.00 USD","May 28, 2020"
"Crusader","Crusader Mercury Star Runner",false,false,22153401,"Standalone Ship - Crusader Mercury Star Runner - ILW2950","$225.00 USD","May 28, 2020"
"MISC","Reliant Tana - Skirmisher",false,false,22153400,"Standalone Ship - MISC Reliant Tana - ILW2950","$75.00 USD","May 28, 2020"
