Manufacturer, Ship, Lti, Warbond, ID, Pledge, Cost, Date
"Aegis","Avenger Titan Renegade",false,false,22144110,"Standalone Ship - Aegis Avenger Titan Renegade - ILW2950","$75.00 USD","May 28, 2020"
"Aegis","Sabre",false,false,22050084,"Standalone Ship - Anvil Arrow - ILW2950","$170.00 USD","May 25, 2020"
"Crusader","Hercules Starlifter C2",false,false,22154930,"Standalone Ship - Crusader C2 Hercules - ILW2950","$360.00 USD","May 28, 2020"
"Drake","Cutlass Black",true,false,19410458,"Package - ANVIL C8X PISCES EXPEDITION + SQ42 - COMBO PACK WB - IAE 2949","$130.00 USD","December 01, 2019"
"MISC","Prospector",false,false,19409879,"Standalone Ship - Drake Cutlass Black - IAE 2949","$155.00 USD","December 01, 2019"
"RSI","Constellation Taurus",false,false,19240374,"Standalone Ship - MISC Freelancer - IAE 2949","$150.00 USD","November 27, 2019"
