Manufacturer, Ship, Lti, Warbond, ID, Pledge, Cost, Date
"Aegis","Avenger Stalker",false,false,1610850,"Avenger","$75.00 USD","January 06, 2014"
"Anvil","F7C-M Super Hornet",true,false,5270540,"Standalone Ship - Kruger P-72 Archimedes - LTI","$165.00 USD","November 20, 2015"
"Consolidated","Mustang Omega : AMD Edition",false,false,2626866,"Package - AMD Never Settle Space Edition","$0.00 USD","October 09, 2014"
"Drake","Dragonfly Black",true,false,9302600,"Standalone Ship - Drake Dragonfly Black","$35.00 USD","June 18, 2016"
"MISC","Hull C",true,false,4604261,"Standalone Ship - Hull C - LTI","$200.00 USD","April 26, 2015"
"MISC","Razor",true,false,5262276,"Standalone Ship - Kruger P-72 Archimedes - LTI","$135.00 USD","November 20, 2015"
"Tumbril","Ranger CV",true,true,18170156,"Add-Ons - Sons of Centauri Pack Warbond   ","$85.00 USD","May 10, 2019"
"Tumbril","Ranger RC",true,true,18170156,"Add-Ons - Sons of Centauri Pack Warbond   ","$85.00 USD","May 10, 2019"
"Tumbril","Ranger TR",true,true,18170156,"Add-Ons - Sons of Centauri Pack Warbond   ","$85.00 USD","May 10, 2019"
