Manufacturer, Ship, Lti, Warbond, ID, Pledge, Cost, Date
"Aegis","Gladius Valiant",true,false,13243002,"Standalone Ship - Origin 325a Fighter - LTI","$110.00 USD","December 03, 2017"
"Aegis","Sabre Comet",true,false,9866751,"Standalone Ship - MISC Freelancer - LTI","$179.00 USD","October 10, 2016"
"Anvil","Carrack Expedition with Pisces Expedition",true,false,20922485,"Package - UEE Exploration 2948 Pack","$850.00 USD","January 03, 2020"
"Anvil","F7C-M Super Hornet",true,false,1371110,"Weekend Warrior - LTI","$180.00 USD","October 22, 2013"
"Anvil","Hawk",true,true,13243186,"Standalone Ship - Anvil Hawk lti Warbond","$80.00 USD","December 03, 2017"
"Anvil","Terrapin",true,false,20922485,"Package - UEE Exploration 2948 Pack","$850.00 USD","January 03, 2020"
"Banu","Merchantman",true,false,1517921,"Banu Merchantman - LTI","$250.00 USD","November 26, 2013"
"Crusader","Crusader Mercury Star Runner",true,false,20922485,"Package - UEE Exploration 2948 Pack","$850.00 USD","January 03, 2020"
"MISC","Freelancer DUR",true,false,20922485,"Package - UEE Exploration 2948 Pack","$850.00 USD","January 03, 2020"
"MISC","Prospector",true,false,22131829,"Package - Digital Freelancer -Veteran - LTI","$170.00 USD","May 27, 2020"
"Tumbril","Cyclone RN",true,false,20922485,"Package - UEE Exploration 2948 Pack","$850.00 USD","January 03, 2020"
