Manufacturer, Ship, Lti, Warbond, ID, Pledge, Cost, Date
"Anvil","Hawk",true,false,18253318,"Standalone Ship - Anvil Hawk lti","$90.00 USD","June 06, 2019"
"Anvil","Pisces - Expedition",false,false,19422696,"Standalone Ship - Anvil C8X Pisces Expedition - IAE 2949","$45.00 USD","December 01, 2019"
"Drake","Cutlass Red",true,true,12316984,"Standalone Ship - Aopoa Nox Kue LTI  - Warbond","$110.00 USD","June 22, 2017"
"KRIG","P-72 Archimedes Emerald",false,false,19181606,"Standalone Ship - Kruger P-52 Merlin - IAE 2949","$40.00 USD","November 26, 2019"
"Origin","315p Explorer",false,false,19410662,"Standalone Ship - Origin 315p - IAE 2949","$84.00 USD","December 01, 2019"
"RSI","Aurora LN",false,false,16245263,"Package - Aurora LN","$45.00 USD","December 02, 2018"
