Manufacturer, Ship, Lti, Warbond, ID, Pledge, Cost, Date
Aegis,Eclipse,TRUE,TRUE,13535526,Standalone Ship - Aegis Eclipse LTI - Warbond Edition,$250.00 USD,27-Jan-18
Aegis,Hammerhead,TRUE,FALSE,13011622,Standalone Ship - Aegis Hammerhead lti,$650.00 USD,25-Nov-17
Aegis,Reclaimer,TRUE,FALSE,2603001,Standalone Ship - Aegis Reclaimer - LTI,$350.00 USD,26-Sep-14
Aegis,Redeemer,TRUE,FALSE,21244844,Standalone Ship - Aegis Redeemer - LTI,$250.00 USD,17-Feb-20
Aegis,Sabre Raven,FALSE,FALSE,13522599,Package - AEGIS Sabre Raven ,$0.00 USD,20-Jan-18
Aegis,Vanguard Warden,TRUE,FALSE,4156029,Standalone Ship - Aegis Vanguard - LTI,$250.00 USD,27-Mar-15
Aegis,Vulcan,FALSE,FALSE,22248434,Standalone Ship - Aegis Vulcan - ILW2950,$200.00 USD,30-May-20
Anvil,Arrow,TRUE,TRUE,15976296,Standalone Ship - Anvil Aerospace Arrow Anniversary 2018 Warbond,$65.00 USD,23-Nov-18
Anvil,Carrack with Pisces Expedition,TRUE,FALSE,5406816,Standalone Ship - Kruger P-72 Archimedes - LTI,$370.00 USD,27-Nov-15
Anvil,Crucible,FALSE,FALSE,12992793,Standalone Ship - Anvil Aerospace Crucible Anniversary 2017,$350.00 USD,24-Nov-17
Anvil,F7C-M Super Hornet,TRUE,FALSE,5299111,Standalone Ship - Kruger P-72 Archimedes - LTI,$165.00 USD,22-Nov-15
Anvil,F8C Lightning Civilian ,TRUE,FALSE,22252294,VIP Wing Commander,$0.00 USD,30-May-20
Aopoa,Nox,TRUE,TRUE,12320213,Add-Ons - Aopoa Nox 2 Pack LTI - Warbond,$65.00 USD,22-Jun-17
Aopoa,Nox Kue,TRUE,TRUE,12320213,Add-Ons - Aopoa Nox 2 Pack LTI - Warbond,$65.00 USD,22-Jun-17
Argo,Argo Mole - Carbon Edition,TRUE,TRUE,20828669,Standalone Ship - Argo Mole Carbon Edition - Warbond,$275.00 USD,23-Dec-19
