Manufacturer, Ship, Lti, Warbond, ID, Pledge, Cost, Date
Argo,Argo SRV,FALSE,FALSE,22151027,Standalone Ship - Argo SRV - ILW2950,$150.00 USD,28-May-20
Argo,MPUV Cargo,TRUE,FALSE,9617967,Standalone Ship - Argo Combo Pack - LTI,$70.00 USD,28-Aug-16
Argo,MPUV Personnel,TRUE,FALSE,9617967,Standalone Ship - Argo Combo Pack - LTI,$70.00 USD,28-Aug-16
Banu,Defender,TRUE,TRUE,11815785,Standalone Ship - Banu Defender - Warbond Edition,$163.74 USD,22-Apr-17
Banu,Merchantman,TRUE,FALSE,5299645,Standalone Ship - Kruger P-72 Archimedes - LTI,$250.00 USD,22-Nov-15
Consolidated,Consolidated Outland Pioneer,TRUE,TRUE,12867871,Standalone Ship - Consolidated Outland Pioneer lti Warbond VIP,$750.00 USD,26-Oct-17
Crusader,Crusader Mercury Star Runner,TRUE,FALSE,9617489,Standalone Ship - Anvil Terrapin - LTI,$200.00 USD,28-Aug-16
Drake,Caterpillar,FALSE,FALSE,10486849,Standalone Ship - Drake Caterpillar - Anniversary 2016,$295.00 USD,26-Nov-16
Drake,Cutlass Blue,TRUE,FALSE,10686430,Standalone Ship - Origin 85X - LTI,$150.00 USD,27-Nov-16
Drake,Dragonfly Black,TRUE,FALSE,9283085,Standalone Ship - Drake Dragonfly Ride Together Two-Pack,$65.00 USD,17-Jun-16
Drake,Dragonfly Yellowjacket,TRUE,FALSE,9283085,Standalone Ship - Drake Dragonfly Ride Together Two-Pack,$65.00 USD,17-Jun-16
Drake,Herald,TRUE,FALSE,10089202,Standalone Ship - Origin 85X - LTI,$85.00 USD,20-Nov-16
Drake,Kraken Privateer,TRUE,TRUE,22241911,Standalone Ship - Drake Kraken Privateer - Warbond - ILW2950,"$1,700.00 USD",30-May-20
KRIG,P-72 Archimedes,TRUE,FALSE,9432334,Standalone Ship - Kruger P-72 Archimedes - LTI,$30.00 USD,23-Jul-16
MISC,Freelancer MAX,TRUE,FALSE,5284731,Standalone Ship - Kruger P-72 Archimedes - LTI,$140.00 USD,21-Nov-15
MISC,Prospector,TRUE,FALSE,9077582,Standalone Ship - MISC Prospector,$140.00 USD,22-Apr-16
MISC,Starfarer,TRUE,FALSE,5350532,Standalone Ship - Kruger P-72 Archimedes - LTI,$195.00 USD,24-Nov-15
Origin,890 JUMP,TRUE,FALSE,5053724,Standalone Ship - Origin 890 JUMP - LTI,$600.00 USD,3-Oct-15
Origin,X1 - FORCE,TRUE,TRUE,12799814,Standalone Ship - X1 FORCE EDITION - LTI - Warbond ,$45.00 USD,7-Oct-17
RSI,Apollo Medivac,TRUE,TRUE,15471368,Standalone Ship - RSI Apollo Medivac- Warbond ,$250.00 USD,4-Aug-18
RSI,Constellation Aquila,FALSE,FALSE,1757955,Constellation,$325.00 USD,7-May-14
RSI,Constellation Phoenix,FALSE,FALSE,11654997,Standalone Ship - Constellation Phoenix,$350.00 USD,1-Apr-17
Tumbril,Cyclone,TRUE,FALSE,13680852,Add-Ons - Tumbril Cyclone Pack LTI Presale,$230.00 USD,17-Mar-18
Tumbril,Cyclone AA,TRUE,FALSE,13680852,Add-Ons - Tumbril Cyclone Pack LTI Presale,$230.00 USD,17-Mar-18
Tumbril,Cyclone RC,TRUE,FALSE,13680852,Add-Ons - Tumbril Cyclone Pack LTI Presale,$230.00 USD,17-Mar-18
Tumbril,Cyclone RN,TRUE,FALSE,13680852,Add-Ons - Tumbril Cyclone Pack LTI Presale,$230.00 USD,17-Mar-18
Tumbril,Cyclone-TR,TRUE,FALSE,13680852,Add-Ons - Tumbril Cyclone Pack LTI Presale,$230.00 USD,17-Mar-18
Tumbril,Ranger CV,TRUE,TRUE,18165861,Add-Ons - Sons of Centauri Pack Warbond   ,$85.00 USD,9-May-19
Tumbril,Ranger RC,TRUE,TRUE,18165861,Add-Ons - Sons of Centauri Pack Warbond   ,$85.00 USD,9-May-19
Tumbril,Ranger TR,TRUE,TRUE,18165861,Add-Ons - Sons of Centauri Pack Warbond   ,$85.00 USD,9-May-19
