Manufacturer, Ship, Lti, Warbond, ID, Pledge, Cost, Date
"Aegis","Reclaimer",true,false,20944132,"Package - Company Pack","$1,700.00 USD","January 06, 2020"
"Aegis","Sabre",true,false,21076136,"Package - UEE Exploration 2948 Pack","$800.00 USD","January 24, 2020"
"Aegis","Vanguard Sentinel",true,false,20781333,"Package - UEE Exploration 2948 Pack","$1,130.00 USD","December 18, 2019"
"Aegis","Vanguard Sentinel",true,false,20781333,"Package - UEE Exploration 2948 Pack","$1,130.00 USD","December 18, 2019"
"Aegis","Vanguard Warden",true,false,20781333,"Package - UEE Exploration 2948 Pack","$1,130.00 USD","December 18, 2019"
"Anvil","Carrack",true,false,21076136,"Package - UEE Exploration 2948 Pack","$800.00 USD","January 24, 2020"
"Anvil","Carrack Expedition with Pisces Expedition",true,false,20781333,"Package - UEE Exploration 2948 Pack","$1,130.00 USD","December 18, 2019"
"Anvil","Crucible",true,false,20944132,"Package - Company Pack","$1,700.00 USD","January 06, 2020"
"Anvil","Terrapin",true,false,21076136,"Package - UEE Exploration 2948 Pack","$800.00 USD","January 24, 2020"
"Banu","Merchantman",true,false,18110692,"Standalone Ship - Kruger P-72 Archimedes - LTI","$250.00 USD","May 02, 2019"
"Consolidated","Consolidated Outland Pioneer",true,true,18687009,"Standalone Ship - Consolidated Outland Pioneer lti Warbond VIP","$750.00 USD","September 13, 2019"
"Crusader","Crusader Ares Ion",true,true,20744762,"Standalone Ship - Crusader Ares Ion Radiance - Warbond","$195.00 USD","December 14, 2019"
"Crusader","Genesis Starliner",true,false,20944132,"Package - Company Pack","$1,700.00 USD","January 06, 2020"
"Crusader","Hercules Starlifter A2",false,true,22147609,"Standalone Ship - Crusader A2 Hercules - Warbond - ILW2950","$600.00 USD","May 28, 2020"
"Drake","Buccaneer",true,false,21076136,"Package - UEE Exploration 2948 Pack","$800.00 USD","January 24, 2020"
"Drake","Corsair",false,false,22244283,"Standalone Ship - Drake Corsair - ILW2950","$215.00 USD","May 30, 2020"
"Drake","Cutlass Blue",false,false,22244282,"Standalone Ship - Drake Cutlass Blue","$175.00 USD","May 30, 2020"
"Drake","Dragonfly Yellowjacket",true,false,20979912,"Standalone Ship - Drake Dragonfly Yellowjacket","$35.00 USD","January 13, 2020"
"Drake","Kraken Privateer",true,true,22241802,"Standalone Ship - Drake Kraken Privateer - Warbond - ILW2950","$1,700.00 USD","May 30, 2020"
"KRIG","P-72 Archimedes",true,false,20979928,"Standalone Ship - Kruger P-72 Archimedes - LTI","$30.00 USD","January 13, 2020"
"MISC","Prospector",false,false,22151908,"Standalone Ship - MISC Prospector ","$155.00 USD","May 28, 2020"
"MISC","Starfarer",true,false,20944132,"Package - Company Pack","$1,700.00 USD","January 06, 2020"
"Origin","G12",true,true,21933070,"Add-Ons - G12 Triple Threat - Warbond - Presale","$155.00 USD","May 21, 2020"
"RSI","Constellation Taurus",true,false,20781333,"Package - UEE Exploration 2948 Pack","$1,130.00 USD","December 18, 2019"
"RSI","Orion",true,false,20944132,"Package - Company Pack","$1,700.00 USD","January 06, 2020"
"RSI","Polaris",false,true,21946983,"Standalone Ship - RSI Polaris - Warbond - ILW2950","$675.00 USD","May 22, 2020"
"Tumbril","Cyclone RN",true,false,21076136,"Package - UEE Exploration 2948 Pack","$800.00 USD","January 24, 2020"
