Manufacturer, Ship, Lti, Warbond, ID, Pledge, Cost, Date
"Aegis","Eclipse",false,false,19692437,"Standalone Ship - Aegis Eclipse - IAE 2949","$300.00 USD","December 07, 2019"
"Aegis","Vanguard Sentinel",false,false,1366312,"Arbiter","$285.00 USD","October 19, 2013"
"Aopoa","Nox",false,false,19680944,"Standalone Ship - Aopoa Nox - IAE 2949","$45.00 USD","December 05, 2019"
"Crusader","Crusader Ares Inferno",true,true,20737565,"Standalone Ship - Crusader Ares Inferno Ember - Warbond","$195.00 USD","December 13, 2019"
"Drake","Cutlass Blue",false,false,19326661,"Package - Cutlass Black","$165.00 USD","November 29, 2019"
