Manufacturer, Ship, Lti, Warbond, ID, Pledge, Cost, Date
"Aegis","Avenger Stalker",true,false,3389393,"Combo - War Pack - Digital","$6,865.00 USD","December 22, 2014"
"Aegis","Avenger Titan",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Aegis","Avenger Titan",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Aegis","Avenger Titan Renegade",true,false,10317915,"Standalone Ship - Avenger Titan Renegade - LTI","$75.00 USD","November 25, 2016"
"Aegis","Avenger Warlock",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Aegis","Eclipse",true,true,13808934,"Standalone Ship - Aegis Eclipse LTI - Warbond Edition","$250.00 USD","April 13, 2018"
"Aegis","Gladius Valiant",true,false,3389393,"Combo - War Pack - Digital","$6,865.00 USD","December 22, 2014"
"Aegis","Hammerhead",true,false,3389393,"Combo - War Pack - Digital","$6,865.00 USD","December 22, 2014"
"Aegis","Hammerhead 2949 Best in Show",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Aegis","Idris-M Frigate",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Aegis","Idris-P Frigate",true,false,3389393,"Combo - War Pack - Digital","$6,865.00 USD","December 22, 2014"
"Aegis","Idris-P Frigate",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Aegis","Javelin",true,false,4155358,"Standalone Ship - Aegis Javelin - LTI","$2,400.00 USD","March 27, 2015"
"Aegis","Nautilus ",true,false,3389393,"Combo - War Pack - Digital","$6,865.00 USD","December 22, 2014"
"Aegis","Reclaimer",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Aegis","Reclaimer 2949 Best in Show",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Aegis","Redeemer",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Aegis","Retaliator Bomber",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Aegis","Sabre",true,false,3389393,"Combo - War Pack - Digital","$6,865.00 USD","December 22, 2014"
