Manufacturer, Ship, Lti, Warbond, ID, Pledge, Cost, Date
"Aegis","Sabre",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Aegis","Sabre Comet",true,false,10123811,"Standalone Ship - Sabre Comet - LTI","$185.00 USD","November 21, 2016"
"Aegis","Sabre Raven",false,false,13413219,"Package - AEGIS Sabre Raven ","$0.00 USD","December 29, 2017"
"Aegis","Sabre Raven",false,false,12931075,"Package - AEGIS Sabre Raven ","$0.00 USD","November 09, 2017"
"Aegis","Vanguard Harbinger",true,false,3389393,"Combo - War Pack - Digital","$6,865.00 USD","December 22, 2014"
"Aegis","Vanguard Hoplite",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Aegis","Vanguard Warden",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Aegis","Vulcan",true,true,13599064,"Standalone Ship - AEGIS Vulcan LTI Warbond VIP EARLY BIRD","$185.00 USD","February 16, 2018"
"Anvil","Arrow",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Anvil","Arrow",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Anvil","Ballista",true,true,18431721,"Standalone Ship - Ballista - Warbond","$120.00 USD","July 19, 2019"
"Anvil","Ballista Dunestalker",true,true,18437647,"Standalone Ship - Ballista Dunestalker Limited Edition - Warbond","$125.00 USD","July 20, 2019"
"Anvil","Ballista Snowblind",true,true,18431720,"Standalone Ship - Ballista Snowblind Limited Edition - Warbond","$125.00 USD","July 19, 2019"
"Anvil","Carrack",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Anvil","Carrack Expedition with Pisces Expedition",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Anvil","Crucible",true,false,3389393,"Combo - War Pack - Digital","$6,865.00 USD","December 22, 2014"
"Anvil","F7C Hornet Wildfire",true,false,12973947,"Standalone Ship - F7C Hornet Wildfire - LTI","$175.00 USD","November 18, 2017"
"Anvil","F7C-M Super Hornet",true,false,3389393,"Combo - War Pack - Digital","$6,865.00 USD","December 22, 2014"
"Anvil","F7C-M Super Hornet",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Anvil","F7C-M Super Hornet",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Anvil","F7C-R Hornet Tracker",true,false,3389393,"Combo - War Pack - Digital","$6,865.00 USD","December 22, 2014"
"Anvil","F7C-R Hornet Tracker",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Anvil","F7C-S Hornet Ghost",true,false,3389393,"Combo - War Pack - Digital","$6,865.00 USD","December 22, 2014"
"Anvil","F7C-S Hornet Ghost",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Anvil","F8C Lightning Civilian ",true,false,15510975,"VIP Wing Commander","$0.00 USD","August 10, 2018"
"Anvil","F8C Lightning Executive Edition",true,false,15510976,"VIP Legatus Navium","$0.00 USD","August 10, 2018"
"Anvil","Gladiator",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Anvil","Gladiator",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Anvil","Hornet F7C-M Heartseeker",false,false,17643000,"Standalone Ship - Hornet F7C-M Heartseeker","$195.00 USD","February 14, 2019"
"Anvil","Pisces - Expedition",true,true,19117652,"Standalone Ship - Anvil C8X Pisces Expedition - Warbond - IAE 2949","$40.00 USD","November 24, 2019"
"Anvil","Terrapin",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Anvil","Terrapin",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Anvil","Valkyrie ",true,false,3389393,"Combo - War Pack - Digital","$6,865.00 USD","December 22, 2014"
"Anvil","Valkyrie Liberator Edition ",true,false,15735336,"Standalone Ship - Valkyrie Liberator WB","$330.00 USD","October 10, 2018"
"Aopoa","Aopoa San'tok.yāi",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Aopoa","Nox",true,false,13414794,"Add-Ons - Deluxe Ground Vehicle Pack LTI VIP","$725.00 USD","December 29, 2017"
"Aopoa","Nox Kue",true,false,13414794,"Add-Ons - Deluxe Ground Vehicle Pack LTI VIP","$725.00 USD","December 29, 2017"
"Argo","Argo Mole",true,false,9072463,"Standalone Ship - MISC Prospector","$300.00 USD","April 22, 2016"
"Banu","Defender",true,false,3389393,"Combo - War Pack - Digital","$6,865.00 USD","December 22, 2014"
"Banu","Merchantman",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Banu","Merchantman",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Consolidated","Consolidated Outland Pioneer",true,true,12866630,"Standalone Ship - Consolidate Outland Pioneer lti Warbond VIP","$750.00 USD","October 26, 2017"
"Consolidated","Mustang Alpha Vindicator",false,false,15693105,"Standalone Ship - Mustang Vindicator CC2948 Promotion","$28.50 USD","October 10, 2018"
"Consolidated","Mustang Beta",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Consolidated","Mustang Delta",true,false,3389393,"Combo - War Pack - Digital","$6,865.00 USD","December 22, 2014"
"Consolidated","Mustang Gamma",true,false,3389393,"Combo - War Pack - Digital","$6,865.00 USD","December 22, 2014"
"Consolidated","Mustang Omega : AMD Edition",false,false,2626676,"Package - AMD Never Settle Space Edition","$0.00 USD","October 09, 2014"
"Crusader","Crusader Ares Inferno",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Crusader","Crusader Mercury Star Runner",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Crusader","Genesis Starliner",true,false,10026819,"Standalone Ship - Genesis Starliner - LTI","$400.00 USD","November 12, 2016"
"Crusader","Hercules Starlifter A2",true,true,15127967,"Add-Ons - Hercules Complete Pack Warbond","$1,223.53 USD","May 04, 2018"
"Crusader","Hercules Starlifter C2",true,true,15127967,"Add-Ons - Hercules Complete Pack Warbond","$1,223.53 USD","May 04, 2018"
"Crusader","Hercules Starlifter M2",true,true,15127967,"Add-Ons - Hercules Complete Pack Warbond","$1,223.53 USD","May 04, 2018"
"Crusader","Hercules Starlifter M2",true,true,15127966,"Add-Ons - M2 Hercules Warbond","$376.47 USD","May 04, 2018"
"Drake","Buccaneer",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Drake","Caterpillar",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Drake","Caterpillar 2949 Best in Show",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Drake","Corsair",true,false,3389393,"Combo - War Pack - Digital","$6,865.00 USD","December 22, 2014"
"Drake","Cutlass 2949 Best In Show",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Drake","Cutlass Black",true,false,3389393,"Combo - War Pack - Digital","$6,865.00 USD","December 22, 2014"
"Drake","Cutlass Black",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Drake","Cutlass Blue",true,false,3389393,"Combo - War Pack - Digital","$6,865.00 USD","December 22, 2014"
"Drake","Cutlass Blue",true,false,3389393,"Combo - War Pack - Digital","$6,865.00 USD","December 22, 2014"
"Drake","Cutlass Blue",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Drake","Cutlass Blue",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Drake","Cutlass Red",true,false,3389393,"Combo - War Pack - Digital","$6,865.00 USD","December 22, 2014"
"Drake","Cutlass Red",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Drake","Dragonfly Black",true,false,13414794,"Add-Ons - Deluxe Ground Vehicle Pack LTI VIP","$725.00 USD","December 29, 2017"
"Drake","Dragonfly Black",true,false,9279214,"Standalone Ship - Drake Dragonfly Ride Together Two-Pack","$65.00 USD","June 17, 2016"
"Drake","Dragonfly Black",true,false,9279213,"Standalone Ship - Drake Dragonfly Ride Together Two-Pack","$65.00 USD","June 17, 2016"
"Drake","Dragonfly Yellowjacket",true,false,13414794,"Add-Ons - Deluxe Ground Vehicle Pack LTI VIP","$725.00 USD","December 29, 2017"
"Drake","Dragonfly Yellowjacket",true,false,9279214,"Standalone Ship - Drake Dragonfly Ride Together Two-Pack","$65.00 USD","June 17, 2016"
"Drake","Dragonfly Yellowjacket",true,false,9279213,"Standalone Ship - Drake Dragonfly Ride Together Two-Pack","$65.00 USD","June 17, 2016"
"Drake","Herald",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Drake","Kraken Privateer",true,true,19360117,"Standalone Ship - Drake Kraken Privateer - Warbond - IAE 2949","$1,700.00 USD","November 30, 2019"
"Drake","Vulture",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Esperia","Blade",true,false,12866685,"Standalone Ship - Esperia Vanduul Blade","$250.00 USD","October 26, 2017"
"Esperia","Prowler",true,false,10038697,"Standalone Ship - Esperia Prowler - LTI","$425.00 USD","November 18, 2016"
"MISC","Endeavor",true,false,10026826,"Standalone Ship - Endeavor Master Set - LTI","$900.00 USD","November 12, 2016"
"MISC","Endeavor",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"MISC","Freelancer DUR",true,false,3389393,"Combo - War Pack - Digital","$6,865.00 USD","December 22, 2014"
"MISC","Freelancer DUR",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"MISC","Freelancer MAX",true,false,3389393,"Combo - War Pack - Digital","$6,865.00 USD","December 22, 2014"
"MISC","Freelancer MAX",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"MISC","Freelancer MIS",true,false,3389393,"Combo - War Pack - Digital","$6,865.00 USD","December 22, 2014"
"MISC","Freelancer MIS",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"MISC","Hull A",true,false,4595669,"Combo - Hull-a-palooza Pack - LTI","$1,275.00 USD","April 25, 2015"
"MISC","Hull B",true,false,4595669,"Combo - Hull-a-palooza Pack - LTI","$1,275.00 USD","April 25, 2015"
"MISC","Hull C",true,false,4595669,"Combo - Hull-a-palooza Pack - LTI","$1,275.00 USD","April 25, 2015"
"MISC","Hull C",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"MISC","Hull D",true,false,4595669,"Combo - Hull-a-palooza Pack - LTI","$1,275.00 USD","April 25, 2015"
"MISC","Hull E",true,false,4595669,"Combo - Hull-a-palooza Pack - LTI","$1,275.00 USD","April 25, 2015"
"MISC","Razor",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"MISC","Razor EX",true,true,15209160,"Add-Ons - MISC Razor Dual Pack May Promotion - Warbond","$270.00 USD","May 25, 2018"
"MISC","Razor LX",true,true,15209160,"Add-Ons - MISC Razor Dual Pack May Promotion - Warbond","$270.00 USD","May 25, 2018"
"MISC","Reliant Kore - Mini Hauler",true,false,3389393,"Combo - War Pack - Digital","$6,865.00 USD","December 22, 2014"
"MISC","Reliant Mako - News Van",true,false,4595669,"Combo - Hull-a-palooza Pack - LTI","$1,275.00 USD","April 25, 2015"
"MISC","Reliant Sen - Researcher",true,false,3389393,"Combo - War Pack - Digital","$6,865.00 USD","December 22, 2014"
"MISC","Starfarer",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"MISC","Starfarer Gemini",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Origin","100i",true,true,13799177,"Add-Ons - Origin 100 Series Pack Warbond","$135.00 USD","April 12, 2018"
"Origin","125a",true,true,13799177,"Add-Ons - Origin 100 Series Pack Warbond","$135.00 USD","April 12, 2018"
"Origin","135c",true,true,13799177,"Add-Ons - Origin 100 Series Pack Warbond","$135.00 USD","April 12, 2018"
"Origin","315p Explorer",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Origin","325a Fighter",true,false,3389393,"Combo - War Pack - Digital","$6,865.00 USD","December 22, 2014"
"Origin","325a Fighter",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Origin","350r Racer",true,false,18260046,"Standalone Ship - Origin 350r Racer - LTI","$139.00 USD","June 07, 2019"
"Origin","350r Racer",true,false,3389393,"Combo - War Pack - Digital","$6,865.00 USD","December 22, 2014"
"Origin","600i Executive Edition",true,false,21685349,"VIP Legatus2","$0.00 USD","April 26, 2020"
"Origin","600i Exploration Module",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Origin","600i Touring Module",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Origin","85X",true,false,3389393,"Combo - War Pack - Digital","$6,865.00 USD","December 22, 2014"
"Origin","85X",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Origin","890 JUMP",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Origin","890 JUMP",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Origin","G12",true,true,21931256,"Add-Ons - G12 Triple Threat - Warbond - Presale","$155.00 USD","May 21, 2020"
"Origin","M50",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Origin","M50",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Origin","X1",true,false,13414794,"Add-Ons - Deluxe Ground Vehicle Pack LTI VIP","$725.00 USD","December 29, 2017"
"Origin","X1 - FORCE",true,false,13414794,"Add-Ons - Deluxe Ground Vehicle Pack LTI VIP","$725.00 USD","December 29, 2017"
"Origin","X1 - VELOCITY",true,false,13414794,"Add-Ons - Deluxe Ground Vehicle Pack LTI VIP","$725.00 USD","December 29, 2017"
"RSI","Apollo Medivac",false,false,15415528,"Standalone Ship - RSI Apollo Medivac","$275.00 USD","July 19, 2018"
"RSI","Aurora LX",true,false,3389393,"Combo - War Pack - Digital","$6,865.00 USD","December 22, 2014"
"RSI","Aurora LX",true,false,3389393,"Combo - War Pack - Digital","$6,865.00 USD","December 22, 2014"
"RSI","Aurora LX",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"RSI","Aurora MR",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"RSI","Constellation Andromeda",true,false,3389393,"Combo - War Pack - Digital","$6,865.00 USD","December 22, 2014"
"RSI","Constellation Andromeda",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"RSI","Constellation Aquila",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"RSI","Constellation Phoenix",true,false,3389393,"Combo - War Pack - Digital","$6,865.00 USD","December 22, 2014"
"RSI","Constellation Phoenix Emerald",true,true,13677751,"Standalone Ship - RSI Constellation Phoenix Emerald - Warbond - St Patrick's Day Special","$350.00 USD","March 16, 2018"
"RSI","Mantis",true,false,3389393,"Combo - War Pack - Digital","$6,865.00 USD","December 22, 2014"
"RSI","Orion",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"RSI","Polaris",true,false,9832602,"Standalone Ship - RSI Polaris - LTI War Bond Presale","$625.00 USD","October 08, 2016"
"RSI","Ursa Rover",true,false,13414794,"Add-Ons - Deluxe Ground Vehicle Pack LTI VIP","$725.00 USD","December 29, 2017"
"RSI","Ursa Rover",true,false,9544828,"Add-Ons - Ursa Rover","$50.00 USD","August 21, 2016"
"RSI","Ursa Rover Fortuna",false,false,17807451,"Standalone Ship - Ursa Rover Fortuna","$55.00 USD","March 15, 2019"
"RSI","Ursa Rover Fortuna",false,false,17807450,"Standalone Ship - Ursa Rover Fortuna","$55.00 USD","March 15, 2019"
"Tumbril","Cyclone",true,false,15175807,"Add-Ons - Tumbril Cyclone Pack LTI Presale","$230.00 USD","May 12, 2018"
"Tumbril","Cyclone",true,true,15127967,"Add-Ons - Hercules Complete Pack Warbond","$1,223.53 USD","May 04, 2018"
"Tumbril","Cyclone",true,true,15127966,"Add-Ons - M2 Hercules Warbond","$376.47 USD","May 04, 2018"
"Tumbril","Cyclone",true,false,13414794,"Add-Ons - Deluxe Ground Vehicle Pack LTI VIP","$725.00 USD","December 29, 2017"
"Tumbril","Cyclone AA",true,false,15175807,"Add-Ons - Tumbril Cyclone Pack LTI Presale","$230.00 USD","May 12, 2018"
"Tumbril","Cyclone AA",true,false,13414794,"Add-Ons - Deluxe Ground Vehicle Pack LTI VIP","$725.00 USD","December 29, 2017"
"Tumbril","Cyclone RC",true,false,15175807,"Add-Ons - Tumbril Cyclone Pack LTI Presale","$230.00 USD","May 12, 2018"
"Tumbril","Cyclone RC",true,false,13414794,"Add-Ons - Deluxe Ground Vehicle Pack LTI VIP","$725.00 USD","December 29, 2017"
"Tumbril","Cyclone RN",true,false,15175807,"Add-Ons - Tumbril Cyclone Pack LTI Presale","$230.00 USD","May 12, 2018"
"Tumbril","Cyclone RN",true,false,13414794,"Add-Ons - Deluxe Ground Vehicle Pack LTI VIP","$725.00 USD","December 29, 2017"
"Tumbril","Cyclone-TR",true,false,15175807,"Add-Ons - Tumbril Cyclone Pack LTI Presale","$230.00 USD","May 12, 2018"
"Tumbril","Cyclone-TR",true,false,13414794,"Add-Ons - Deluxe Ground Vehicle Pack LTI VIP","$725.00 USD","December 29, 2017"
"Tumbril","Nova Tank",true,true,18595431,"Standalone Ship - Tumbril Nova Tank lti Warbond","$95.00 USD","August 28, 2019"
"Tumbril","Nova Tank",true,true,15127967,"Add-Ons - Hercules Complete Pack Warbond","$1,223.53 USD","May 04, 2018"
"Tumbril","Nova Tank",true,false,13414794,"Add-Ons - Deluxe Ground Vehicle Pack LTI VIP","$725.00 USD","December 29, 2017"
"Tumbril","Ranger CV",true,true,18165626,"Add-Ons - Sons of Centauri Pack Warbond   ","$85.00 USD","May 09, 2019"
"Tumbril","Ranger RC",false,false,18246251,"Standalone Ship - Tumbril Ranger RC","$35.00 USD","June 03, 2019"
"Tumbril","Ranger RC",true,true,18165626,"Add-Ons - Sons of Centauri Pack Warbond   ","$85.00 USD","May 09, 2019"
"Tumbril","Ranger TR",false,false,18246250,"Standalone Ship - Tumbril Ranger TR ","$40.00 USD","June 03, 2019"
"Tumbril","Ranger TR",true,true,18165626,"Add-Ons - Sons of Centauri Pack Warbond   ","$85.00 USD","May 09, 2019"
"Vanduul","Captured Vanduul Scythe",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Vanduul","Glaive",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
"Xi'an","Khartu-al",true,false,3388812,"Combo - The Completionist - Digital","$17,161.00 USD","December 22, 2014"
