Manufacturer, Ship, Lti, Warbond, ID, Pledge, Cost, Date
"Aegis","Reclaimer 2949 Best in Show",true,false,19302229,"Standalone Ship - Banu Defender","$265.00 USD","November 29, 2019"
"Aegis","Sabre",false,false,18988249,"Merlin 3.7 Free-Fly Referral Reward","$130.00 USD","November 02, 2019"
"Aegis","Vanguard Warden",true,false,473489,"Arbiter - LTI","$250.00 USD","June 28, 2013"
"Aegis","Vulcan",true,true,18121988,"Standalone Ship - AEGIS Vulcan LTI Warbond VIP EARLY BIRD","$185.00 USD","May 07, 2019"
"Anvil","Arrow",true,true,16288006,"Standalone Ship - Anvil Aerospace Arrow Anniversary 2018 Warbond","$65.00 USD","December 04, 2018"
"Anvil","Carrack Expedition with Pisces Expedition",true,false,15812379,"Package - UEE Exploration Pack - LTI","$545.00 USD","October 19, 2018"
"Anvil","Crucible",true,false,22321406,"Standalone Ship - Reliant Mini Hauler - LTI","$280.00 USD","May 31, 2020"
"Anvil","Valkyrie ",true,false,22282806,"Standalone Ship - Reliant Mini Hauler - LTI","$260.00 USD","May 31, 2020"
"Aopoa","Aopoa San'tok.yāi",true,false,19158951,"Package - UEE Exploration 2948 Pack","$1,105.00 USD","November 25, 2019"
"Aopoa","Nox",true,false,15947704,"Add-Ons - Aopoa Nox 2 Pack LTI","$75.00 USD","November 19, 2018"
"Aopoa","Nox Kue",true,false,15947704,"Add-Ons - Aopoa Nox 2 Pack LTI","$75.00 USD","November 19, 2018"
"Banu","Defender",true,true,16017191,"Standalone Ship - Anvil Aerospace Arrow Anniversary 2018 Warbond","$175.00 USD","November 25, 2018"
"Banu","Merchantman",true,false,1524950,"Banu Merchantman - LTI","$250.00 USD","November 26, 2013"
"Consolidated","Consolidated Outland Pioneer",true,false,12870319,"Standalone Ship - Consolidated Outland Pioneer lti","$850.00 USD","October 27, 2017"
"Crusader","Crusader Mercury Star Runner",true,false,15812379,"Package - UEE Exploration Pack - LTI","$545.00 USD","October 19, 2018"
"Crusader","Hercules Starlifter M2",true,false,20952330,"Standalone Ship - Banu Defender","$355.00 USD","January 08, 2020"
"Drake","Dragonfly Black",true,false,15812379,"Package - UEE Exploration Pack - LTI","$545.00 USD","October 19, 2018"
"Drake","Dragonfly Yellowjacket",true,false,13101805,"Combo - Caterpillar & Dragonfly Pack","$355.00 USD","November 29, 2017"
"Drake","Kraken",true,false,15815880,"Standalone Ship - Drake Kraken - Wave 5","$1,650.00 USD","October 20, 2018"
"Drake","Vulture",true,false,22086635,"Standalone Ship - Reliant Mini Hauler - LTI","$125.00 USD","May 26, 2020"
"MISC","Endeavor",true,false,5047199,"Standalone Ship - Endeavor Master Set - LTI","$900.00 USD","September 30, 2015"
"MISC","Freelancer DUR",true,false,19158951,"Package - UEE Exploration 2948 Pack","$1,105.00 USD","November 25, 2019"
"MISC","Starfarer Gemini",true,false,1512140,"MISC Starfarer Tanker - LTI","$220.00 USD","November 25, 2013"
"Origin","315p Explorer",true,false,13101805,"Combo - Caterpillar & Dragonfly Pack","$355.00 USD","November 29, 2017"
"Origin","890 JUMP",true,false,2649686,"Standalone Ship - Origin 890 JUMP - LTI","$600.00 USD","October 10, 2014"
"Origin","G12",true,false,22094969,"Standalone Ship - Tumbril Cyclone LTI Presale","$45.00 USD","May 26, 2020"
"RSI","Apollo Medivac",true,false,19158951,"Package - UEE Exploration 2948 Pack","$1,105.00 USD","November 25, 2019"
"RSI","Orion",true,false,13101805,"Combo - Caterpillar & Dragonfly Pack","$355.00 USD","November 29, 2017"
"RSI","Polaris",true,false,19158951,"Package - UEE Exploration 2948 Pack","$1,105.00 USD","November 25, 2019"
"Tumbril","Cyclone RN",true,false,19158951,"Package - UEE Exploration 2948 Pack","$1,105.00 USD","November 25, 2019"
