Manufacturer, Ship, Lti, Warbond, ID, Pledge, Cost, Date
"Aegis","Avenger Titan Renegade",true,true,18802878,"Add-Ons - Posse Pack - Warbond","$380.00 USD","October 11, 2019"
"Aegis","Idris-P Frigate",true,true,19325041,"Standalone Ship - Aegis Idris-P - Warbond - IAE 2949","$1,300.00 USD","November 29, 2019"
"Aegis","Nautilus Solstice Edition",true,true,18584642,"Standalone Ship - Aegis Nautilus Solstice Limited Edition - Warbond ","$675.00 USD","August 25, 2019"
"Aegis","Pirate Gladius",true,true,18907078,"Standalone Ship - Pirate Gladius - Warbond","$90.00 USD","October 18, 2019"
"Aegis","Reclaimer 2949 Best in Show",true,false,2604577,"Standalone Ship - Aegis Reclaimer - LTI","$350.00 USD","September 26, 2014"
"Aegis","Vanguard Warden",true,false,4157345,"Standalone Ship - Aegis Vanguard - LTI","$250.00 USD","March 27, 2015"
"Aegis","Vulcan",true,true,13596615,"Standalone Ship - AEGIS Vulcan LTI Warbond VIP EARLY BIRD","$185.00 USD","February 15, 2018"
"Anvil","Carrack Expedition",true,false,19165647,"Package - UEE Exploration 2948 Pack","$1,015.00 USD","November 25, 2019"
"Anvil","F7C-M Super Hornet",true,false,66367,"Digital Scout - LTI","$170.00 USD","October 19, 2012"
"Anvil","F8C Lightning Civilian ",true,false,16184380,"VIP Wing Commander","$0.00 USD","November 30, 2018"
"Anvil","F8C Lightning Executive Edition",true,false,19326532,"VIP Legatus Navium","$0.00 USD","November 29, 2019"
"Anvil","Hawk",true,false,18334712,"Package - Scoundrel Pack","$695.00 USD","June 20, 2019"
"Anvil","Hornet F7C-M Heartseeker",true,true,17644523,"Standalone Ship - Hornet F7C-M Heartseeker Warbond","$175.00 USD","February 14, 2019"
"Anvil","Hornet F7C-M Heartseeker",true,false,5317134,"Standalone Ship - Kruger P-72 Archimedes - LTI","$195.00 USD","November 23, 2015"
"Anvil","Pisces - Expedition",true,true,19405046,"Standalone Ship - Anvil C8X Pisces Expedition - Warbond - IAE 2949","$40.00 USD","December 01, 2019"
"Anvil","Pisces - Expedition",true,true,19405045,"Standalone Ship - Anvil C8X Pisces Expedition - Warbond - IAE 2949","$40.00 USD","December 01, 2019"
