Manufacturer, Ship, Lti, Warbond, ID, Pledge, Cost, Date
"Anvil","Pisces - Expedition",true,true,19099054,"Package - Anvil C8X Pisces Expedition - Starter Pack Warbond - IAE 2949 ","$55.00 USD","November 24, 2019"
"Anvil","Pisces - Expedition",true,true,19099052,"Package - Anvil C8X Pisces Expedition - Starter Pack Warbond - IAE 2949 ","$55.00 USD","November 24, 2019"
"Anvil","Terrapin",true,false,19165647,"Package - UEE Exploration 2948 Pack","$1,015.00 USD","November 25, 2019"
"Aopoa","Aopoa San'tok.yāi",true,true,16088108,"Standalone Ship - Aopoa San'tok'yai Anniversary 2018 Warbond","$195.00 USD","November 28, 2018"
"Aopoa","Nox",true,true,12320063,"Standalone Ship - Aopoa Nox LTI - Warbond","$35.00 USD","June 22, 2017"
"Aopoa","Nox",true,true,12320062,"Standalone Ship - Aopoa Nox LTI - Warbond","$35.00 USD","June 22, 2017"
"Argo","Argo SRV",true,true,17644060,"Add-Ons - Argo Utility Pack Warbond","$200.00 USD","February 14, 2019"
"Argo","MPUV Cargo",true,true,17644060,"Add-Ons - Argo Utility Pack Warbond","$200.00 USD","February 14, 2019"
"Argo","MPUV Personnel",true,true,17644060,"Add-Ons - Argo Utility Pack Warbond","$200.00 USD","February 14, 2019"
"Banu","Defender",true,true,18802878,"Add-Ons - Posse Pack - Warbond","$380.00 USD","October 11, 2019"
"Banu","Merchantman",true,false,9284078,"Standalone Ship - Drake Dragonfly Yellowjacket","$350.00 USD","June 17, 2016"
"Consolidated","Consolidated Outland Pioneer",true,true,12866877,"Standalone Ship - Consolidate Outland Pioneer lti Warbond VIP","$750.00 USD","October 26, 2017"
"Consolidated","Mustang Beta",true,false,5254577,"Standalone Ship - Kruger P-72 Archimedes - LTI","$40.00 USD","November 19, 2015"
"Consolidated","Mustang Gamma",true,false,5267653,"Standalone Ship - Kruger P-72 Archimedes - LTI","$55.00 USD","November 20, 2015"
"Crusader","Crusader Mercury Star Runner",true,false,18334712,"Package - Scoundrel Pack","$695.00 USD","June 20, 2019"
"Crusader","Crusader Mercury Star Runner",true,false,2707577,"Standalone Ship - Drake Herald - LTI","$200.00 USD","October 31, 2014"
"Crusader","Genesis Starliner",true,false,4796439,"Standalone Ship - Genesis Starliner - LTI","$400.00 USD","June 26, 2015"
"Crusader","Hercules Starlifter C2",true,false,19165647,"Package - UEE Exploration 2948 Pack","$1,015.00 USD","November 25, 2019"
"Drake","Caterpillar 2949 Best in Show",true,false,18334712,"Package - Scoundrel Pack","$695.00 USD","June 20, 2019"
"Drake","Corsair",true,true,17877832,"Standalone Ship - Drake Corsair Warbond","$195.00 USD","March 21, 2019"
"Drake","Cutlass 2949 Best In Show",true,false,18334712,"Package - Scoundrel Pack","$695.00 USD","June 20, 2019"
"Drake","Dragonfly Black",true,false,19165647,"Package - UEE Exploration 2948 Pack","$1,015.00 USD","November 25, 2019"
"Drake","Dragonfly Black",true,false,18334712,"Package - Scoundrel Pack","$695.00 USD","June 20, 2019"
"Drake","Dragonfly Black",true,false,9284079,"Standalone Ship - Drake Dragonfly Ride Together Two-Pack","$65.00 USD","June 17, 2016"
"Drake","Dragonfly Yellowjacket",true,false,9284079,"Standalone Ship - Drake Dragonfly Ride Together Two-Pack","$65.00 USD","June 17, 2016"
"Drake","Kraken",true,false,15813337,"Standalone Ship - Drake Kraken - Wave 2","$1,650.00 USD","October 19, 2018"
"KRIG","P-72 Archimedes",true,false,18352402,"Standalone Ship - Kruger P-72 Archimedes - LTI","$30.00 USD","June 28, 2019"
"KRIG","P-72 Archimedes Emerald",true,true,21482717,"Standalone Ship - Kruger P-72 Archimedes Emerald - LTI - Warbond","$35.00 USD","March 16, 2020"
"KRIG","P-72 Archimedes Emerald",true,true,21482716,"Standalone Ship - Kruger P-72 Archimedes Emerald - LTI - Warbond","$35.00 USD","March 16, 2020"
"KRIG","P-72 Archimedes Emerald",true,true,21482715,"Add-Ons - Soldier of Fortuna Pack - LTI - Warbond","$415.00 USD","March 16, 2020"
"MISC","Endeavor",true,false,5043318,"Standalone Ship - Endeavor Hope-Class - LTI","$450.00 USD","September 29, 2015"
"MISC","Freelancer DUR",true,false,19165647,"Package - UEE Exploration 2948 Pack","$1,015.00 USD","November 25, 2019"
"MISC","Freelancer MAX",true,false,13132923,"Standalone Ship - Anvil Hawk lti","$150.00 USD","November 30, 2017"
"MISC","Hull A",true,false,16183179,"Standalone Ship - Hull A - LTI","$60.00 USD","November 30, 2018"
"MISC","Prospector",true,false,13132922,"Standalone Ship - Anvil Hawk lti","$140.00 USD","November 30, 2017"
"MISC","Razor",true,false,9284077,"Standalone Ship - Drake Dragonfly Yellowjacket","$135.00 USD","June 17, 2016"
"MISC","Reliant Kore - Mini Hauler",true,false,4679793,"Standalone Ship - Reliant Mini Hauler - LTI","$50.00 USD","May 22, 2015"
"MISC","Starfarer Gemini",true,false,4655139,"Standalone Ship - Starfarer Gemini - LTI","$240.00 USD","May 08, 2015"
"Origin","100i",true,true,13798088,"Add-Ons - Origin 100 Series Pack Warbond","$135.00 USD","April 12, 2018"
"Origin","125a",true,true,13798088,"Add-Ons - Origin 100 Series Pack Warbond","$135.00 USD","April 12, 2018"
"Origin","135c",true,true,13798088,"Add-Ons - Origin 100 Series Pack Warbond","$135.00 USD","April 12, 2018"
"Origin","300i",true,false,16024238,"Standalone Ship - Kruger P-72 Archimedes - LTI","$78.00 USD","November 25, 2018"
"Origin","350r Racer",true,false,5267652,"Standalone Ship - Kruger P-72 Archimedes - LTI","$149.00 USD","November 20, 2015"
"Origin","600i Touring Module",true,true,12625201,"Standalone Ship - ORIGIN 600i Luxury Edition - LTI - Warbond Edition","$375.00 USD","August 25, 2017"
"Origin","85X",true,false,10037708,"Standalone Ship - Origin 85X - LTI","$50.00 USD","November 18, 2016"
"Origin","85X",true,false,10037707,"Standalone Ship - Origin 85X - LTI","$50.00 USD","November 18, 2016"
"Origin","85X",true,false,2650111,"Standalone Ship - Origin 85X - LTI","$50.00 USD","October 10, 2014"
"Origin","890 JUMP",true,false,2650111,"Standalone Ship - Origin 890 JUMP - LTI","$600.00 USD","October 10, 2014"
"Origin","G12",true,true,21931216,"Add-Ons - G12 Triple Threat - Warbond - Presale","$155.00 USD","May 21, 2020"
"Origin","M50",true,false,5254579,"Standalone Ship - Kruger P-72 Archimedes - LTI","$100.00 USD","November 19, 2015"
"Origin","X1",true,true,12739644,"Package - X1 THREE-PACK SCARLET EDITION - LTI - Warbond","$105.00 USD","September 28, 2017"
"Origin","X1 - FORCE",true,true,12739644,"Package - X1 THREE-PACK SCARLET EDITION - LTI - Warbond","$105.00 USD","September 28, 2017"
"Origin","X1 - VELOCITY",true,true,12739644,"Package - X1 THREE-PACK SCARLET EDITION - LTI - Warbond","$105.00 USD","September 28, 2017"
"RSI","Apollo Medivac",true,true,15418847,"Standalone Ship - RSI Apollo Medivac- Warbond ","$250.00 USD","July 20, 2018"
"RSI","Constellation Phoenix Emerald",true,true,21482715,"Add-Ons - Soldier of Fortuna Pack - LTI - Warbond","$415.00 USD","March 16, 2020"
"RSI","Mantis",true,true,18802878,"Add-Ons - Posse Pack - Warbond","$380.00 USD","October 11, 2019"
"RSI","Orion",true,false,4050514,"Standalone Ship - RSI Orion - LTI","$325.00 USD","February 20, 2015"
"RSI","Polaris",true,false,9829618,"Standalone Ship - RSI Polaris - LTI War Bond Presale","$625.00 USD","October 07, 2016"
"RSI","Ursa Rover Fortuna",true,true,21482715,"Add-Ons - Soldier of Fortuna Pack - LTI - Warbond","$415.00 USD","March 16, 2020"
"Tumbril","Cyclone",true,false,12487392,"Add-Ons - Tumbril Cyclone Pack LTI Presale","$230.00 USD","July 20, 2017"
"Tumbril","Cyclone AA",true,false,12487392,"Add-Ons - Tumbril Cyclone Pack LTI Presale","$230.00 USD","July 20, 2017"
"Tumbril","Cyclone RC",true,false,12487392,"Add-Ons - Tumbril Cyclone Pack LTI Presale","$230.00 USD","July 20, 2017"
"Tumbril","Cyclone RN",true,false,12487392,"Add-Ons - Tumbril Cyclone Pack LTI Presale","$230.00 USD","July 20, 2017"
"Tumbril","Cyclone-TR",true,false,12487392,"Add-Ons - Tumbril Cyclone Pack LTI Presale","$230.00 USD","July 20, 2017"
"Tumbril","Ranger CV",true,false,18334712,"Package - Scoundrel Pack","$695.00 USD","June 20, 2019"
"Tumbril","Ranger CV",true,true,18162957,"Add-Ons - Sons of Centauri Pack Warbond   ","$85.00 USD","May 09, 2019"
"Tumbril","Ranger CV",true,true,18162956,"Add-Ons - Sons of Centauri Pack Warbond   ","$85.00 USD","May 09, 2019"
"Tumbril","Ranger RC",true,true,18162957,"Add-Ons - Sons of Centauri Pack Warbond   ","$85.00 USD","May 09, 2019"
"Tumbril","Ranger RC",true,true,18162956,"Add-Ons - Sons of Centauri Pack Warbond   ","$85.00 USD","May 09, 2019"
"Tumbril","Ranger TR",true,true,18162957,"Add-Ons - Sons of Centauri Pack Warbond   ","$85.00 USD","May 09, 2019"
"Tumbril","Ranger TR",true,true,18162956,"Add-Ons - Sons of Centauri Pack Warbond   ","$85.00 USD","May 09, 2019"
"Vanduul","Glaive",true,false,4892595,"Standalone Ship - Vanduul Glaive","$350.00 USD","August 07, 2015"
"Xi'an","Khartu-al",true,false,4679792,"Standalone Ship - Reliant Mini Hauler - LTI","$150.00 USD","May 22, 2015"
